Fecha,Hora,Producto,ISIN,Bolsa de referencia,Centro de ejecución,Número,Precio,,Valor local,,Valor EUR,Tipo de cambio,Comisión AutoFX,Costes de transacción y/o externos EUR,Total EUR,ID Orden
17-12-2025,15:30,ADR ON NOVO NORDISK A/S,US6701002056,NSY,XNYS,23,"48,1500",USD,"-1107,45",USD,"-944,12","1,1730","-2,36","-2,00","-948,48",4adcf080-7008-4fa8-ae63-95e7654bedea
17-12-2025,15:30,MONDELEZ INTERNATIONAL INC CLASS A,US6092071058,NDQ,XNAS,21,"54,2000",USD,"-1138,20",USD,"-970,42","1,1729","-2,43","-2,00","-974,85",738a4462-f12a-46c0-a8a4-badfe2a3930f
17-12-2025,07:54,VISCOFAN SA-RTS - NON TRADEABLE,ES0684262944,DEG,,-20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
09-12-2025,09:33,G.CATALANA O - TD,ES0116920333,MAD,,-33,"49,7500",EUR,"1641,75",EUR,"1641,75",,"0,00",,"1641,75",
21-11-2025,00:00,"VIDRALA, S.A.",ES0183746314,MAD,,0,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
21-11-2025,00:00,VIDRALA SA,ES06837469D8,MAD,,-14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
20-11-2025,00:00,VISCOFAN SA-RTS - NON TRADEABLE,ES0684262944,DEG,,20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
20-11-2025,00:00,VISCOFAN SA-RTS,ES0684262944,MAD,,-20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
20-11-2025,00:00,VISCOFAN SA-RTS,ES0684262944,MAD,,20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
17-11-2025,16:35,ZOETIS INC CLASS A ORD SHS,US98978V1035,NSY,JNST,12,"119,8200",USD,"-1437,84",USD,"-1240,81","1,1588","-3,10","-2,00","-1245,91",c1570b7b-3c65-40b5-848c-1342414e94c9
17-11-2025,16:11,G.CATALANA O - TD,ES0116920333,MAD,,33,"49,6000",EUR,"-1636,80",EUR,"-1636,80",,"0,00",,"-1636,80",2430738d-aa02-447f-b560-21e389554a55
17-11-2025,16:11,GRUPO CATALANA OCCIDENTE SA,ES0116920333,MAD,,-33,"49,6000",EUR,"1636,80",EUR,"1636,80",,"0,00",,"1636,80",2430738d-aa02-447f-b560-21e389554a55
